CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
394506329,12/31/2019,17:30:00,,,32,12/31/2019,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,MANHATTAN,,STREET,N.Y. POLICE DEPT,,,999937,238365,40.8209268,-73.94332422
968873685,12/29/2019,16:31:00,12/29/2019,16:54:00,47,12/29/2019,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,BRONX,,STREET,N.Y. POLICE DEPT,,,1022508,261990,40.88570141,-73.86164032
509837549,12/15/2019,18:45:00,,,109,12/29/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,,,1034178,209758,40.74228116,-73.81982408
352454313,12/28/2019,1:00:00,,,47,12/28/2019,126,MISCELLANEOUS PENAL LAW,117,RECKLESS ENDANGERMENT 1,COMPLETED,FELONY,BRONX,REAR OF,STREET,N.Y. POLICE DEPT,,,1026412,258211,40.87531145,-73.84754521
248803469,9/5/2008,21:41:00,,,,9/5/2008,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,OUTSIDE,,N.Y. POLICE DEPT,NA,,1001215,193881,40.69882728,-73.93881905
293718737,12/27/2019,22:00:00,,,9,12/27/2019,107,BURGLARY,223,"BURGLARY,RESIDENCE,NIGHT",ATTEMPTED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,,,989665,201866,40.72075882,-73.98046642
552685226,12/27/2019,20:10:00,12/27/2019,20:15:00,79,12/27/2019,117,DANGEROUS DRUGS,521,"CONTROLLED SUBSTANCE, SALE 5",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,,,1001545,192836,40.69595836,-73.93763162
134037758,12/26/2019,20:00:00,12/27/2019,7:15:00,101,12/27/2019,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,,,1054394,162186,40.61157007,-73.74736517
855385879,12/26/2019,19:57:00,,,44,12/26/2019,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,,,1007027,245405,40.84023414,-73.91768411
241602326,12/25/2019,23:00:00,12/26/2019,14:25:00,20,12/26/2019,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,,,987147,220853,40.77287456,-73.98954212
585574881,12/24/2019,16:00:00,,,14,12/24/2019,109,GRAND LARCENY,433,"LARCENY,GRAND FROM STORE-SHOPL",COMPLETED,FELONY,MANHATTAN,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,,,987220,212676,40.75043077,-73.98928218
916172359,12/21/2019,20:00:00,12/21/2019,20:30:00,25,12/24/2019,341,PETIT LARCENY,301,"LARCENY,PETIT BY ACQUIRING LOS",COMPLETED,MISDEMEANOR,MANHATTAN,,OTHER,N.Y. POLICE DEPT,,,1001150,231355,40.80168406,-73.93895929
946914583,12/22/2019,4:15:00,12/22/2019,4:24:00,108,12/22/2019,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,QUEENS,,STREET,N.Y. POLICE DEPT,,,996424,210017,40.7431246,-73.95606807
355952564,12/21/2019,2:35:00,,,46,12/21/2019,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,INSIDE,,N.Y. POLICE DEPT,,,1009507,252093,40.85858397,-73.90869607
249276017,12/20/2019,14:00:00,,,42,12/21/2019,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BRONX,,STREET,N.Y. POLICE DEPT,,,1008690,238862,40.82227104,-73.91169778
636997863,12/20/2019,22:18:00,,,52,12/20/2019,344,ASSAULT 3 & RELATED OFFENSES,114,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,,,1014563,253789,40.86322307,-73.89041071
183266811,12/20/2019,1:35:00,12/20/2019,1:44:00,66,12/20/2019,107,BURGLARY,223,"BURGLARY,RESIDENCE,NIGHT",COMPLETED,FELONY,BROOKLYN,REAR OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,,,989260,169727,40.63254475,-73.98195138
699043216,12/20/2019,0:07:00,12/20/2019,0:12:00,50,12/20/2019,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS",COMPLETED,MISDEMEANOR,BRONX,,OTHER,METRO NORTH,,,1008839,257949,40.87465879,-73.91108944
431547413,12/10/2019,20:06:00,12/10/2019,20:24:00,7,12/20/2019,114,ARSON,263,"ARSON 2,3,4",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,,LA GUARDIA,987063,198657,40.71195209,-73.98985468
800366831,12/19/2019,17:50:00,,,43,12/19/2019,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BRONX,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,,,1023380,239329,40.82349996,-73.85861899
354566222,12/19/2019,2:50:00,,,42,12/19/2019,104,RAPE,153,RAPE 3,COMPLETED,FELONY,BRONX,INSIDE,ABANDONED BUILDING,N.Y. POLICE DEPT,,,1008798,238971,40.82256992,-73.91130717
464928227,12/18/2019,20:30:00,12/19/2019,11:22:00,104,12/19/2019,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,,,1011048,193750,40.69844341,-73.90335796
721499574,10/18/2013,20:34:00,,,75,10/18/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,OUTSIDE,,N.Y. POLICE DEPT,NA,,1013091,184311,40.6725291,-73.89603056
441714270,12/6/2019,11:30:00,12/7/2019,8:00:00,10,12/19/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,HOSPITAL,N.Y. POLICE DEPT,,,984623,209859,40.7426993,-73.99865538
747375469,12/18/2019,18:15:00,,,100,12/18/2019,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,OUTSIDE,,N.Y. POLICE DEPT,,,1036299,153335,40.58740068,-73.81260554
464533599,12/18/2019,17:40:00,,,18,12/18/2019,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,,N.Y. POLICE DEPT,,,988668,218026,40.76511455,-73.98405256
509186416,12/18/2019,17:00:00,12/18/2019,17:15:00,48,12/18/2019,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,BRONX,INSIDE,OTHER,N.Y. POLICE DEPT,,,1016804,251715,40.85752258,-73.88231889
